07:12:07 Pod redisoperator-56c8dfdfb-c84cl 780:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-c84cl to acto-cluster-15-worker
07:45:32 ReplicaSet rfs-test-cluster-54df69f8df 5229:	Created pod: rfs-test-cluster-54df69f8df-5dgxd
07:41:09 Pod rfs-test-cluster-55849b4bc6-8pnzf 4614:	Successfully assigned acto-namespace/rfs-test-cluster-55849b4bc6-8pnzf to acto-cluster-15-worker
07:41:11 Pod rfs-test-cluster-55849b4bc6-8pnzf 4618:	Pulling image "redis:6.2.6-alpine"
07:41:11 Pod rfs-test-cluster-55849b4bc6-8pnzf 4618:	Successfully pulled image "redis:6.2.6-alpine" in 424.240217ms
07:41:11 Pod rfs-test-cluster-55849b4bc6-8pnzf 4618:	Created container sentinel-config-copy
07:41:23 Pod rfs-test-cluster-55849b4bc6-8pnzf 4618:	Started container sentinel-config-copy
07:41:26 Pod rfs-test-cluster-55849b4bc6-8pnzf 4618:	Pulling image "redis:6.2.6-alpine"
07:41:26 Pod rfs-test-cluster-55849b4bc6-8pnzf 4618:	Successfully pulled image "redis:6.2.6-alpine" in 178.737528ms
07:41:26 Pod rfs-test-cluster-55849b4bc6-8pnzf 4618:	Created container sentinel
07:41:26 Pod rfs-test-cluster-55849b4bc6-8pnzf 4618:	Started container sentinel
07:46:23 Pod rfs-test-cluster-55849b4bc6-8pnzf 4618:	Stopping container sentinel
07:41:59 Pod rfs-test-cluster-55849b4bc6-mr7vx 4748:	Successfully assigned acto-namespace/rfs-test-cluster-55849b4bc6-mr7vx to acto-cluster-15-worker2
07:42:00 Pod rfs-test-cluster-55849b4bc6-mr7vx 4750:	Pulling image "redis:6.2.6-alpine"
07:42:01 Pod rfs-test-cluster-55849b4bc6-mr7vx 4750:	Successfully pulled image "redis:6.2.6-alpine" in 621.830282ms
07:42:01 Pod rfs-test-cluster-55849b4bc6-mr7vx 4750:	Created container sentinel-config-copy
07:42:13 Pod rfs-test-cluster-55849b4bc6-mr7vx 4750:	Started container sentinel-config-copy
07:42:15 Pod rfs-test-cluster-55849b4bc6-mr7vx 4750:	Pulling image "redis:6.2.6-alpine"
07:42:15 Pod rfs-test-cluster-55849b4bc6-mr7vx 4750:	Successfully pulled image "redis:6.2.6-alpine" in 191.404861ms
07:42:15 Pod rfs-test-cluster-55849b4bc6-mr7vx 4750:	Created container sentinel
07:42:15 Pod rfs-test-cluster-55849b4bc6-mr7vx 4750:	Started container sentinel
07:45:32 Pod rfs-test-cluster-55849b4bc6-mr7vx 4750:	Stopping container sentinel
07:40:18 Pod rfs-test-cluster-55849b4bc6-tgfff 4493:	Successfully assigned acto-namespace/rfs-test-cluster-55849b4bc6-tgfff to acto-cluster-15-worker3
07:40:19 Pod rfs-test-cluster-55849b4bc6-tgfff 4496:	Pulling image "redis:6.2.6-alpine"
07:40:19 Pod rfs-test-cluster-55849b4bc6-tgfff 4496:	Successfully pulled image "redis:6.2.6-alpine" in 411.116177ms
07:40:19 Pod rfs-test-cluster-55849b4bc6-tgfff 4496:	Created container sentinel-config-copy
07:40:36 Pod rfs-test-cluster-55849b4bc6-tgfff 4496:	Started container sentinel-config-copy
07:40:37 Pod rfs-test-cluster-55849b4bc6-tgfff 4496:	Pulling image "redis:6.2.6-alpine"
07:40:38 Pod rfs-test-cluster-55849b4bc6-tgfff 4496:	Successfully pulled image "redis:6.2.6-alpine" in 185.370051ms
07:40:38 Pod rfs-test-cluster-55849b4bc6-tgfff 4496:	Created container sentinel
07:40:38 Pod rfs-test-cluster-55849b4bc6-tgfff 4496:	Started container sentinel
07:44:42 Pod rfs-test-cluster-55849b4bc6-tgfff 4496:	Stopping container sentinel
07:40:18 ReplicaSet rfs-test-cluster-55849b4bc6 4490:	Created pod: rfs-test-cluster-55849b4bc6-tgfff
07:41:09 ReplicaSet rfs-test-cluster-55849b4bc6 4611:	Created pod: rfs-test-cluster-55849b4bc6-8pnzf
07:41:59 ReplicaSet rfs-test-cluster-55849b4bc6 4745:	Created pod: rfs-test-cluster-55849b4bc6-mr7vx
07:44:42 ReplicaSet rfs-test-cluster-55849b4bc6 5095:	Deleted pod: rfs-test-cluster-55849b4bc6-tgfff
07:45:32 ReplicaSet rfs-test-cluster-55849b4bc6 5219:	Deleted pod: rfs-test-cluster-55849b4bc6-mr7vx
07:46:23 ReplicaSet rfs-test-cluster-55849b4bc6 5348:	Deleted pod: rfs-test-cluster-55849b4bc6-8pnzf
07:12:10 PodDisruptionBudget rfs-test-cluster 831:	No matching pods found
07:12:10 Deployment rfs-test-cluster 835:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
07:40:18 Deployment rfs-test-cluster 4489:	Scaled up replica set rfs-test-cluster-55849b4bc6 to 1
07:41:09 Deployment rfs-test-cluster 4561:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
07:41:09 Deployment rfs-test-cluster 4604:	Scaled up replica set rfs-test-cluster-55849b4bc6 to 2
07:41:59 Deployment rfs-test-cluster 4708:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
07:41:59 Deployment rfs-test-cluster 4738:	Scaled up replica set rfs-test-cluster-55849b4bc6 to 3
07:42:50 Deployment rfs-test-cluster 4854:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
07:43:52 Deployment rfs-test-cluster 4986:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
07:44:42 Deployment rfs-test-cluster 5048:	Scaled down replica set rfs-test-cluster-55849b4bc6 to 2
07:44:42 Deployment rfs-test-cluster 5098:	Scaled up replica set rfs-test-cluster-54df69f8df to 2
07:45:32 Deployment rfs-test-cluster 5188:	(combined from similar events): Scaled down replica set rfs-test-cluster-55849b4bc6 to 0
