Name,Owner,Desc,url,forks,stars,watches,created_at
seaweedfs-operator,seaweedfs,seaweedfs kubernetes operator,https://github.com/seaweedfs/seaweedfs-operator,26,109,7,2019-10-23
jiva-operator,openebs,Kubernetes Operator for managing Jiva Volumes via custom resource.,https://github.com/openebs/jiva-operator,42,36,15,2019-10-23
container-security-operator,quay,Identify image vulnerabilities in Kubernetes pods,https://github.com/quay/container-security-operator,29,89,10,2019-10-28
gcp-project-operator,openshift,Operator responsible for managing GCP projects and credentials.,https://github.com/openshift/gcp-project-operator,46,29,45,2019-10-18
hostpath-provisioner-operator,kubevirt,,https://github.com/kubevirt/hostpath-provisioner-operator,27,25,12,2019-10-25
cluster-resource-override-admission-operator,openshift,Operator for the mutating admission webhook for ClusterResourceOverride,https://github.com/openshift/cluster-resource-override-admission-operator,26,6,12,2019-10-24
k8s-wso2am-operator,wso2,WSO2 API Manager Operator for Kubernetes,https://github.com/wso2/k8s-wso2am-operator,16,20,112,2019-10-22
wavefront-operator-for-kubernetes,wavefrontHQ,Lifecycle management of Wavefront assets in Kubernetes,https://github.com/wavefrontHQ/wavefront-operator-for-kubernetes,12,4,20,2019-10-23
multicloud-operators-subscription,kuanf,CRD and controller for Subscription (Channel Subscription model) for Multicloud Application.,https://github.com/kuanf/multicloud-operators-subscription,12,0,1,2019-10-05
cstorpoolauto,mayadata-io,Data Agility Operator for cstor pool,https://github.com/mayadata-io/cstorpoolauto,6,8,15,2019-10-07
greenplum-operator,soxueren,Greenplum Operator creates/configures/manages Greenplum clusters atop Kubernetes,https://github.com/soxueren/greenplum-operator,4,8,2,2019-10-09
ocean-operator,spotinst,[DEPRECATED] Ocean Operator for Kubernetes.,https://github.com/spotinst/ocean-operator,3,9,7,2019-10-30
limit-operator,Myafq,Kubernetes operator helping define LimitRange on cluster level.,https://github.com/Myafq/limit-operator,2,20,3,2019-10-06
sitewhere-k8s-operator,sitewhere,The SiteWhere Kubernetes operator manages custom resources from the SiteWhere model and orchestrates Kubernetes state to realize the model at runtime.,https://github.com/sitewhere/sitewhere-k8s-operator,3,3,6,2019-10-11
vault-dynamic-configuration-operator,patoarvizu,Operator to handle dynamic configuration of https://github.com/banzaicloud/bank-vaults,https://github.com/patoarvizu/vault-dynamic-configuration-operator,0,18,2,2019-10-24
jenkins-operator,Iryna-Churkina,,https://github.com/Iryna-Churkina/jenkins-operator,3,0,0,2019-10-18
postgresql-controller,lunarway,PostgreSQL controller for managing database user access through kubernetes custom resources,https://github.com/lunarway/postgresql-controller,2,6,9,2019-10-31
cmpp-operator,sinoreps,a Kubernetes tool to manage multiple cmpp clients,https://github.com/sinoreps/cmpp-operator,2,2,2,2019-10-29
twitter-operator,pablokbs,This is a POC to manage tweets using a Kubernetes Operator,https://github.com/pablokbs/twitter-operator,0,5,2,2019-10-22
ray-operator,gaocegege,Feasibility Research for Ray Operator,https://github.com/gaocegege/ray-operator,0,5,1,2019-10-24
kips-operator,stuartleeks,An exploration in Kubernetes operators and Azure Relay Service,https://github.com/stuartleeks/kips-operator,1,5,2,2019-10-27
operator-role-linter,codeready-toolchain,A linter for the role and cluster role of an operator,https://github.com/codeready-toolchain/operator-role-linter,2,0,4,2019-10-24
zeebe-operator,salaboy,Experimental Zeebe Operator,https://github.com/salaboy/zeebe-operator,0,3,2,2019-11-01
datadog-operator,stefansedich,Manage DataDog using Kubernetes,https://github.com/stefansedich/datadog-operator,0,3,1,2019-10-06
zuul-operator,xxiao93,zuul-operator,https://github.com/xxiao93/zuul-operator,0,2,2,2019-10-16
boom,caos,"Operator to deploy a defined toolsets into K8s, think paas but less lock-in",https://github.com/caos/boom,1,12,5,2019-10-31
kelm,takaishi,Interactive kubernetes operator like a peco and Emacs helm.,https://github.com/takaishi/kelm,0,5,3,2019-10-03
bpa-operator,itohan-uk,,https://github.com/itohan-uk/bpa-operator,1,2,2,2019-10-22
cronjob-operator,ThinkBlue1991,,https://github.com/ThinkBlue1991/cronjob-operator,0,2,1,2019-10-23
gcp-project-operator,rafael-azevedo,Operator responsible for managing GCP projects and credentials,https://github.com/rafael-azevedo/gcp-project-operator,1,2,1,2019-10-21
inferator,tchughesiv,Inferator Operator,https://github.com/tchughesiv/inferator,0,0,3,2019-10-28
assembly-operator,accanto-systems,Assembly Operator,https://github.com/accanto-systems/assembly-operator,0,0,3,2019-10-28
echoserver,brianwcook,echoserver operator,https://github.com/brianwcook/echoserver,0,0,2,2019-10-30
i,KeisukeYamashita,👁‍🗨 i is an Kubernetes Operator for restarting old pod by custom policies 👁‍🗨,https://github.com/KeisukeYamashita/i,1,4,1,2019-10-24
postgres-operator-complete,aliok,Example Postgres operator,https://github.com/aliok/postgres-operator-complete,0,0,2,2019-10-08
nginx-operator,Jaywoods2,operator sdk demo,https://github.com/Jaywoods2/nginx-operator,0,0,2,2019-10-13
applications,bigkevmcd,Simple Applications operator,https://github.com/bigkevmcd/applications,0,0,2,2019-10-08
sawtooth-operator,knabben,[artichoke] Sawtooth Testnet Operator,https://github.com/knabben/sawtooth-operator,0,0,2,2019-10-16
security-operator,masters-of-cats,,https://github.com/masters-of-cats/security-operator,0,0,2,2019-10-25
kubectl-operators,komish,A kubectl plugin for reading packagemanifests.,https://github.com/komish/kubectl-operators,0,1,2,2019-10-30
app-operator,egaudet,,https://github.com/egaudet/app-operator,0,0,1,2019-10-31
darp-operator,Dimss,K8S Operator for DARP project,https://github.com/Dimss/darp-operator,0,0,1,2019-10-21
drone-operator,MoraAndrea,,https://github.com/MoraAndrea/drone-operator,0,0,1,2019-10-23
iscsi-operator,utkarshmani1997,,https://github.com/utkarshmani1997/iscsi-operator,0,0,2,2019-10-18
onprem-operator,sohankunkerkar,[WIP] An operator for installing an OCM instance,https://github.com/sohankunkerkar/onprem-operator,1,0,2,2019-10-07
hpa-operator,zduymz,,https://github.com/zduymz/hpa-operator,0,0,2,2019-10-28
nop-operator,periklis,A prototype implementation of a k8s zero-ops operator,https://github.com/periklis/nop-operator,0,1,1,2019-10-11
first-operator,danail-branekov,,https://github.com/danail-branekov/first-operator,0,0,2,2019-10-23
spa-operator,Ahora,Manage SPA deployment with crds in kubernetes.,https://github.com/Ahora/spa-operator,0,1,1,2019-10-28
app-operator,onechao,,https://github.com/onechao/app-operator,0,1,2,2019-10-10
crowd-operator,shall3790,,https://github.com/shall3790/crowd-operator,0,0,1,2019-11-01
logstash-operator,cloudptio,,https://github.com/cloudptio/logstash-operator,0,0,2,2019-10-14
prometheus-operator,codecheq,,https://github.com/codecheq/prometheus-operator,0,0,1,2019-10-18
liftbridge-operator,annismckenzie,A Kubernetes Operator to manage Liftbridge clusters,https://github.com/annismckenzie/liftbridge-operator,0,0,1,2019-11-01
memcached-operator,tilt-dev,,https://github.com/tilt-dev/memcached-operator,1,1,3,2019-10-16
openscap-operator,JAORMX,A Kubernetes operator for scanning your cluster with OpenSCAP,https://github.com/JAORMX/openscap-operator,0,0,1,2019-10-03
of-operator,like199,of-operator  是一种方便跑分布式训练任务的k8s 的crd,https://github.com/like199/of-operator,0,0,2,2019-10-16
runaway-operator,djzager,,https://github.com/djzager/runaway-operator,0,0,2,2019-10-04
youtube-operator,pablokbs,"A Kubernetes YouTube Operator, a just for fun project.",https://github.com/pablokbs/youtube-operator,0,1,2,2019-10-08
project-operator,chinglinwen,k8s project-operator work with self-release,https://github.com/chinglinwen/project-operator,0,1,2,2019-10-17
webserver-operator,Dimss,,https://github.com/Dimss/webserver-operator,0,0,1,2019-10-24
keycloak-operator,tmacro,A k8s operator for deploying keycloak and oauth2_proxy for cluster SSO,https://github.com/tmacro/keycloak-operator,0,0,2,2019-10-25
central-operator,mhrivnak,,https://github.com/mhrivnak/central-operator,0,0,2,2019-10-18
hello-operator,shall3790,,https://github.com/shall3790/hello-operator,0,0,1,2019-11-01
tfServing_simple_operator,danrusei,Tensoflow Serving example K8s Operator,https://github.com/danrusei/tfServing_simple_operator,1,0,1,2019-10-21
buildly-discovery-operator,jefmoura,,https://github.com/jefmoura/buildly-discovery-operator,0,0,1,2019-10-02
samba4-operator,chalharu,,https://github.com/chalharu/samba4-operator,1,0,2,2019-10-08
test-fn-workflow-operator,VijayAcquia,,https://github.com/VijayAcquia/test-fn-workflow-operator,0,1,1,2019-10-04
sample-controller-operatorsdk,sasaken555,Operator SDKでサンプルのOperatorを作成する。,https://github.com/sasaken555/sample-controller-operatorsdk,0,0,2,2019-10-05
test-fn-drupal-operator,VijayAcquia,,https://github.com/VijayAcquia/test-fn-drupal-operator,0,0,1,2019-10-04
htk-cluster-config-operator,michaelgugino,,https://github.com/michaelgugino/htk-cluster-config-operator,0,0,1,2019-10-29
message-agent-operator,gzlj,,https://github.com/gzlj/message-agent-operator,0,1,2,2019-10-29
operator-dev-plugin,mfojtik,A kubectl plugin that allow manipulation with OpenShift operators,https://github.com/mfojtik/operator-dev-plugin,1,1,1,2019-10-24
kube-owasp-zap-operator,simplyzee,,https://github.com/simplyzee/kube-owasp-zap-operator,0,0,0,2019-10-14
db-claim-operator,misterjoshua,,https://github.com/misterjoshua/db-claim-operator,0,0,1,2019-10-06
k8s-triliovault-operator,shekhawatsanjay,Operator for lifecycle management of k8s-triliovault,https://github.com/shekhawatsanjay/k8s-triliovault-operator,0,0,1,2019-10-21
c-n-d-e-operator,Cloud-Native-Coding,Cloud Native Coding operator for management of VM like IDEs,https://github.com/Cloud-Native-Coding/c-n-d-e-operator,0,1,2,2019-10-19
memweb-reconciler,mhrivnak,memcached-operator driven from a web API,https://github.com/mhrivnak/memweb-reconciler,0,0,2,2019-10-17
mosaic5g,ndhfrock,Kubernetes Operator for automatic Mosaic5G deployment on top of a Kubernetes Cluster,https://github.com/ndhfrock/mosaic5g,1,2,1,2019-10-15
sample-controller-kubebuilder,sasaken555,KubebuilderでサンプルのOperatorを実装する。,https://github.com/sasaken555/sample-controller-kubebuilder,0,0,2,2019-10-05
farmcontroller,svallero,Kube operator to enforce dynamic quotas on farm.,https://github.com/svallero/farmcontroller,0,0,2,2019-10-28
namespacewatch,speak2jc,k8s operator to take action on namespaces (e.g apply netpol),https://github.com/speak2jc/namespacewatch,0,0,1,2019-10-06
cockroach-operator,cockroachdb,k8s operator for CRDB,https://github.com/cockroachdb/cockroach-operator,76,217,47,2019-11-20
datadog-operator,DataDog,Datadog Agent Kubernetes Operator,https://github.com/DataDog/datadog-operator,70,184,137,2019-11-19
chaosblade-operator,chaosblade-io,chaosblade operator for kubernetes experiments,https://github.com/chaosblade-io/chaosblade-operator,76,138,19,2019-11-03
compliance-operator,openshift,Operator providing OpenShift cluster compliance checks,https://github.com/openshift/compliance-operator,86,98,20,2019-11-12
fdb-kubernetes-operator,FoundationDB,A kubernetes operator for FoundationDB,https://github.com/FoundationDB/fdb-kubernetes-operator,65,164,22,2019-11-15
amazon-sagemaker-operator-for-k8s,aws,Amazon SageMaker operator for Kubernetes,https://github.com/aws/amazon-sagemaker-operator-for-k8s,50,146,10,2019-11-15
telegraf-operator,influxdata,telegraf-operator helps monitor application on Kubernetes with Telegraf,https://github.com/influxdata/telegraf-operator,36,73,20,2019-11-29
humio-operator,humio,Kubernetes Operator for Humio,https://github.com/humio/humio-operator,24,24,8,2019-11-06
resource-locker-operator,redhat-cop,,https://github.com/redhat-cop/resource-locker-operator,14,30,11,2019-11-12
pomerium-operator,pomerium,An operator for running Pomerium on a Kubernetes cluster.,https://github.com/pomerium/pomerium-operator,9,28,6,2019-11-12
learn-operator,jianzhangbjz,This is an sample operator created by using the operator-sdk,https://github.com/jianzhangbjz/learn-operator,13,12,2,2019-11-09
contrail-operator,Juniper,Juniper K8s contrail operator,https://github.com/Juniper/contrail-operator,9,18,124,2019-11-06
csi-operator,tkestack,,https://github.com/tkestack/csi-operator,10,14,7,2019-11-05
must-gather-operator,redhat-cop,An operator to simplify the creation and upload of cluster diagnostics from the must-gather tool,https://github.com/redhat-cop/must-gather-operator,14,7,9,2019-11-26
spring-boot-operator,dsyer,,https://github.com/dsyer/spring-boot-operator,6,30,8,2019-11-25
chaos-runner,litmuschaos,The bridge between chaos operator and chaos experiment! Lifecycle manager for chaos experiments,https://github.com/litmuschaos/chaos-runner,28,18,7,2019-11-05
kubeserial,janekbaraniewski,k8s operator for managing serial devices.,https://github.com/janekbaraniewski/kubeserial,4,35,4,2019-11-30
shipshape,rh-messaging,"Openshift Operator test framework, written in go",https://github.com/rh-messaging/shipshape,8,6,32,2019-11-12
zap-operator,omerlh,,https://github.com/omerlh/zap-operator,3,21,2,2019-11-29
repo-operator,sebgroup,A kubernetes operator to manage repositories,https://github.com/sebgroup/repo-operator,3,8,4,2019-11-27
kapp-controller,carvel-dev,Continuous delivery and package management for Kubernetes.,https://github.com/carvel-dev/kapp-controller,65,161,16,2019-11-06
platform-operator,flanksource,,https://github.com/flanksource/platform-operator,3,3,9,2019-11-07
code-server-operator,TommyLike,Running multiple code server instances in k8s cluster,https://github.com/TommyLike/code-server-operator,2,8,2,2019-11-27
rabbitmq-operator,mq-k8s-operators,rabbitmq operator,https://github.com/mq-k8s-operators/rabbitmq-operator,0,7,2,2019-11-14
k8s-event-logger-operator,bakito,⚡ k8s event logger operator - logs configured events to stdout in order to not lose them,https://github.com/bakito/k8s-event-logger-operator,2,5,1,2019-11-30
scapresults,openshift,A helper script used by openshift/compliance-operator to upload OpenSCAP scan results into a configMap,https://github.com/openshift/scapresults,8,1,14,2019-11-26
template-operator,giantswarm,Starting point for writing an operator based on operatorkit,https://github.com/giantswarm/template-operator,2,2,17,2019-11-11
operator-hello-world,l0rd,Hello World Kubernetes Operator. Contributing is as simple as clicking here -->,https://github.com/l0rd/operator-hello-world,3,0,2,2019-11-04
kafka-operator,mq-k8s-operators,kafka operator,https://github.com/mq-k8s-operators/kafka-operator,0,6,2,2019-11-25
orbos,caos,ORBOS - GitOps everything,https://github.com/caos/orbos,9,115,4,2019-11-29
operatify,operatify,Operators made simple for resources with CRUD APIs,https://github.com/operatify/operatify,1,22,4,2019-11-17
instrumently,lilic,Instrumently operator is the sample-controller but instrumented with custom resource metrics,https://github.com/lilic/instrumently,2,12,4,2019-11-10
kubernetes-operator,selcukusta,Applying ConfigMap changes in .NET Core applications on-the-fly thanks to Kubernetes Operator.,https://github.com/selcukusta/kubernetes-operator,1,6,2,2019-11-28
mailgun-operator,whyseco,Mailgun Operator for kubernetes,https://github.com/whyseco/mailgun-operator,1,5,3,2019-11-20
hw-operator,Dimss,K8S Operator demo project,https://github.com/Dimss/hw-operator,2,1,1,2019-11-05
healthchecksio-operator,kristofferahl,A Kubernetes operator for Healthchecks.io,https://github.com/kristofferahl/healthchecksio-operator,0,4,3,2019-11-15
HiOperator,nelvadas,HelloWorld operator with Kubebuilder,https://github.com/nelvadas/HiOperator,0,3,2,2019-11-15
operator-demo,wangpy1489,,https://github.com/wangpy1489/operator-demo,0,2,3,2019-11-24
lota-operator,mcanevet,,https://github.com/mcanevet/lota-operator,0,2,2,2019-11-15
memcached-operator,agrajm,Memcached Operator for k8s using Operator SDK,https://github.com/agrajm/memcached-operator,0,0,2,2019-11-28
gcp-operator,appvia,GCP Operator,https://github.com/appvia/gcp-operator,0,1,2,2019-11-28
kube-operator,appvia,Kubenetes Operator,https://github.com/appvia/kube-operator,0,0,2,2019-11-08
kata-operator,sowjarao,kata-operator,https://github.com/sowjarao/kata-operator,0,0,1,2019-11-18
lm-operator,accanto-systems,LM Operator,https://github.com/accanto-systems/lm-operator,0,0,2,2019-11-04
bouncer,cjheppell,A Kubernetes Operator to support dynamically exposing NodePort services across a range of cloud providers,https://github.com/cjheppell/bouncer,0,5,2,2019-11-29
operatorlib,boddumanohar,,https://github.com/boddumanohar/operatorlib,0,0,0,2019-11-02
mariadb-operator,bjornmagnusson,Simple MariaDB Operator,https://github.com/bjornmagnusson/mariadb-operator,0,0,1,2019-12-01
qliksense-operator,qlik-oss,qliksense-operator implementaion,https://github.com/qlik-oss/qliksense-operator,1,1,3,2019-11-06
doorman-operator,OchiengEd,Lessons on writing operators,https://github.com/OchiengEd/doorman-operator,0,1,2,2019-11-18
gameservers-operator,Trojan295,Kubernetes operator for game servers,https://github.com/Trojan295/gameservers-operator,0,0,1,2019-11-19
operator-framework,halkyonio,,https://github.com/halkyonio/operator-framework,0,0,2,2019-11-08
aws-operator,bertinatto,,https://github.com/bertinatto/aws-operator,0,0,1,2019-11-22
hyperfoil-operator,Hyperfoil,Operator for installation in Openshift,https://github.com/Hyperfoil/hyperfoil-operator,1,0,5,2019-11-28
logstash-operator,njbarber,,https://github.com/njbarber/logstash-operator,0,0,1,2019-11-08
spp-operator,yasufum,,https://github.com/yasufum/spp-operator,1,0,2,2019-11-05
demo-operator,gaocegege,,https://github.com/gaocegege/demo-operator,0,0,2,2019-11-26
kube-operator,maisem,,https://github.com/maisem/kube-operator,0,0,2,2019-11-04
minizenko-operator,nicolas2bert,"Kubernetes Operator for ""Mini"" scality/zenko",https://github.com/nicolas2bert/minizenko-operator,0,0,1,2019-11-19
podset-operator,yannizhang2019,,https://github.com/yannizhang2019/podset-operator,0,0,1,2019-11-12
operator-cronjob,chengyh2golang,,https://github.com/chengyh2golang/operator-cronjob,0,0,1,2019-12-01
memcache-operator,XuJinTao1996,,https://github.com/XuJinTao1996/memcache-operator,0,0,1,2019-11-06
customer-example-operator,akoserwal,,https://github.com/akoserwal/customer-example-operator,0,0,1,2019-11-23
operator-sdk-demo,chengyh2golang,,https://github.com/chengyh2golang/operator-sdk-demo,0,0,1,2019-12-01
eventstore-user-operator,MajorBreakfast,Kubernetes operator for creating Event Store users (Proof of concept),https://github.com/MajorBreakfast/eventstore-user-operator,1,0,1,2019-11-11
monitoring-operator-prototype,sparkoo,"Prototype operator to test installation and setup of monitoring and tracing stack with Prometheus, Grafana and Jaeger",https://github.com/sparkoo/monitoring-operator-prototype,0,0,2,2019-11-21
vault-secret-operator,carlosjgp,Kuberntes operator to create configmaps or secrets from Hashicorp Vault secrets,https://github.com/carlosjgp/vault-secret-operator,0,0,1,2019-11-02
lite-kafka-operator,Svimba,,https://github.com/Svimba/lite-kafka-operator,1,0,2,2019-11-06
go-memcahced-operator,asmacdo,,https://github.com/asmacdo/go-memcahced-operator,0,0,2,2019-11-15
logging-operator-sdk-client,pepov,,https://github.com/pepov/logging-operator-sdk-client,0,0,2,2019-11-25
weshare-k8s-operator,bbenlazreg,,https://github.com/bbenlazreg/weshare-k8s-operator,0,0,1,2019-11-27
daskopr,piersharding,Kubernetes Operator for Dask based on KubeBuilder,https://github.com/piersharding/daskopr,0,0,1,2019-11-11
kubehealthcheck,costap,Kube operator to display health and general info for services and pods,https://github.com/costap/kubehealthcheck,0,0,2,2019-12-01
openshift-go-vip-scanner-container,RawDataLabs,OpenShift Vulnerability Scanner Operator - used for Image scanning and pod annotations ( go-toolset-7-rhel7 / go-client / OpenShift Kubernetes SDK / Redis / Clair ),https://github.com/RawDataLabs/openshift-go-vip-scanner-container,0,0,2,2019-11-30
opentelemetry-operator,open-telemetry,Kubernetes Operator for OpenTelemetry Collector,https://github.com/open-telemetry/opentelemetry-operator,265,685,24,2019-12-18
argocd-operator,argoproj-labs,A Kubernetes operator for managing Argo CD clusters.,https://github.com/argoproj-labs/argocd-operator,132,379,15,2019-12-04
kubeswitch,danielfoehrKn,The kubectx  for operators.,https://github.com/danielfoehrKn/kubeswitch,41,514,4,2019-12-30
vitess-operator,planetscale,Kubernetes Operator for Vitess,https://github.com/planetscale/vitess-operator,56,219,36,2019-12-03
terraform-k8s,hashicorp,Terraform Cloud Operator for Kubernetes,https://github.com/hashicorp/terraform-k8s,62,367,27,2019-12-04
egress-operator,monzo,A Kubernetes operator to produce egress gateway Envoy pods and control access to them with network policies,https://github.com/monzo/egress-operator,21,223,69,2019-12-11
performance-addon-operators,openshift-kni,Operators related to optimizing OpenShift clusters for applications sensitive to cpu and network latency,https://github.com/openshift-kni/performance-addon-operators,55,43,9,2019-12-16
cloud-ingress-operator,openshift,"Operator to manage cloud Ingress/Load balancer scheme, switching between public/private modes",https://github.com/openshift/cloud-ingress-operator,53,17,45,2019-12-10
file-integrity-operator,openshift,Operator providing OpenShift cluster node file integrity checking,https://github.com/openshift/file-integrity-operator,24,29,18,2019-12-03
keda-olm-operator,kedacore,Operator for deploying KEDA Controller on OperatorHub.io/OLM,https://github.com/kedacore/keda-olm-operator,17,24,5,2019-12-11
canary-checker,flanksource,Kubernetes operator for executing synthetic tests,https://github.com/flanksource/canary-checker,18,32,9,2019-12-11
watchlist-operator,hmanikkothu,,https://github.com/hmanikkothu/watchlist-operator,9,8,2,2019-12-24
dgraph-operator,dgraph-io,Dgraph Operator creates/configures/manages Dgraph clusters atop Kubernetes,https://github.com/dgraph-io/dgraph-operator,5,20,23,2019-12-26
nsm-operator,networkservicemesh,A kubernetes operator for deploying and managing Network Service Meshes,https://github.com/networkservicemesh/nsm-operator,7,8,6,2019-12-03
podset-operator,spursy,,https://github.com/spursy/podset-operator,6,11,2,2019-12-26
iam-manager,keikoproj,"AWS IAM role management for K8s cluster using kube builder ""Operator"" framework",https://github.com/keikoproj/iam-manager,18,41,15,2019-12-17
prow-operator-test-harness,mdwn,Prow operator test harness for Openshift Dedicated. Also serves as an example to build off of for other addon test harnesses.,https://github.com/mdwn/prow-operator-test-harness,9,0,1,2019-12-17
ghost-operator,fossildev,Ghost Operator for Kubernetes,https://github.com/fossildev/ghost-operator,3,5,3,2019-12-22
prometheus-meta-operator,giantswarm,,https://github.com/giantswarm/prometheus-meta-operator,2,14,14,2019-12-16
terraform-provider-po,greg-gajda,This is a terraform provider for prometheus operator,https://github.com/greg-gajda/terraform-provider-po,4,9,2,2019-12-15
predictive-horizontal-pod-autoscaler,jthomperoo,Horizontal Pod Autoscaler built with predictive abilities using statistical models,https://github.com/jthomperoo/predictive-horizontal-pod-autoscaler,22,290,6,2019-12-08
cert-completer,erwinvaneyk,A Kubernetes operator that ensures that all TLS secrets have a valid ca.crt,https://github.com/erwinvaneyk/cert-completer,4,18,1,2019-12-23
selinux-operator,JAORMX,operator that tracks SelinuxPolicy objects in certain namespaces.,https://github.com/JAORMX/selinux-operator,1,12,3,2019-12-14
locust-operator,amila-ku,Locust Operator Created using operator sdk,https://github.com/amila-ku/locust-operator,1,5,3,2019-12-28
dotscience-operator,dotmesh-io,,https://github.com/dotmesh-io/dotscience-operator,2,0,7,2019-12-13
url-operator,tx19980520,url-operator,https://github.com/tx19980520/url-operator,0,3,2,2019-12-23
linkerd-config,ihcsim,A Kubernetes controller that knows how to reconcile the Linkerd configuration,https://github.com/ihcsim/linkerd-config,0,7,2,2019-12-30
ignition-operator,giantswarm,Templates ignition which is used for giantswarm clusters.,https://github.com/giantswarm/ignition-operator,1,2,14,2019-12-16
sense-installer,qlik-oss,Sense Installer is a QSEoK installer and operator,https://github.com/qlik-oss/sense-installer,0,3,3,2019-12-11
memcached-operator,wangxiang5050,First k8s operator generated by operator-sdk,https://github.com/wangxiang5050/memcached-operator,0,0,1,2019-12-20
variance,YaoZengzeng,A Kubernetes Operator that minimizes variance,https://github.com/YaoZengzeng/variance,0,2,2,2019-12-15
opentelemetry-operator,joe-elliott,OpenTelemetry Operator,https://github.com/joe-elliott/opentelemetry-operator,0,0,0,2019-12-05
app,chengyh2golang,operator-demo,https://github.com/chengyh2golang/app,0,0,1,2019-12-06
demo,chengyh2golang,operator-demo,https://github.com/chengyh2golang/demo,0,0,1,2019-12-06
nginx-operator,chenzhiwei,A sample operator that works with Operator Lifecycle Manager,https://github.com/chenzhiwei/nginx-operator,0,0,2,2019-12-06
controller,jinxin3,k8s operator sample,https://github.com/jinxin3/controller,0,0,2,2019-12-10
helm-operator,omerlh,,https://github.com/omerlh/helm-operator,0,0,1,2019-12-04
kube-operator,OpsBoost,,https://github.com/OpsBoost/kube-operator,0,0,2,2019-12-27
application-operator,waseem-h,A kubernetes operator that manages the state of a springboot application,https://github.com/waseem-h/application-operator,1,0,2,2019-12-10
memcached-operator,clyang82,,https://github.com/clyang82/memcached-operator,0,0,2,2019-12-09
keycloak-operator,agilesolutions,cloning and changing databases,https://github.com/agilesolutions/keycloak-operator,0,0,1,2019-12-29
kube-operator,angelokurtis,,https://github.com/angelokurtis/kube-operator,0,0,1,2019-12-07
operator-toolkit,6RiverSystems,Set of utility libraries common for several operator implementations,https://github.com/6RiverSystems/operator-toolkit,0,0,5,2019-12-11
argocd-operator,mcouliba,A Kubernetes operator for managing Argo CD deployments.,https://github.com/mcouliba/argocd-operator,0,0,1,2019-12-15
ci-operator,nicolasverle,,https://github.com/nicolasverle/ci-operator,0,0,1,2019-12-06
loadtest-operator,giantswarm,,https://github.com/giantswarm/loadtest-operator,1,0,15,2019-12-16
chatbot-operator,pohsien324,A Kubernetes Operator for deploying the multi-platform chatbot service.,https://github.com/pohsien324/chatbot-operator,0,1,1,2019-12-06
ewan-operator,cheng1li,,https://github.com/cheng1li/ewan-operator,0,0,2,2019-12-17
mon-operator,platform9,,https://github.com/platform9/mon-operator,0,0,8,2019-12-04
cleanup-operator,giantswarm,An operator that disposes of any evidence of test stuff in your cluster,https://github.com/giantswarm/cleanup-operator,1,0,5,2019-12-16
pingdom-operator,markelog,Manage your checks via kubernetes operator,https://github.com/markelog/pingdom-operator,0,0,2,2019-12-03
app-operator,clyang82,,https://github.com/clyang82/app-operator,0,0,2,2019-12-09
cronner-operator,jjtroberts,Kubernetes operator to monitor CronJobs for failure and notify stakeholders.,https://github.com/jjtroberts/cronner-operator,0,1,2,2019-12-15
underThedome-operator,lpeano,Checke Image Registry validiti,https://github.com/lpeano/underThedome-operator,0,0,2,2019-12-23
dendronaut-operator-sdk,dskatz,,https://github.com/dskatz/dendronaut-operator-sdk,0,0,2,2019-12-18
sample-controller-operatorsdk,yukihirop,,https://github.com/yukihirop/sample-controller-operatorsdk,0,0,1,2019-12-17
namespace-configuration-operator,gonzaloacosta,,https://github.com/gonzaloacosta/namespace-configuration-operator,0,0,2,2019-12-13
operatorkit-js-engine,giantswarm,OperatorKit JS Engine provides a JavaScript VM on top of OperatorKit allowing resources to be implemented in JS,https://github.com/giantswarm/operatorkit-js-engine,1,0,5,2019-12-16
say-hi-operator,claudioed,,https://github.com/claudioed/say-hi-operator,0,0,2,2019-12-06
csye7374-operator,Ashutosh-Shukla-zz,A Kubernetes operator to create s3 folders,https://github.com/Ashutosh-Shukla-zz/csye7374-operator,0,0,3,2019-12-05
Operator-SDK-Pod-Notification,vishu2498,This is a project for getting notifications from logs of Kubernetes Operator that when a new pod is deployed.,https://github.com/vishu2498/Operator-SDK-Pod-Notification,0,0,2,2019-12-23
kubeOperatorTutorial,frncscsrcc,Working code from https://book.kubebuilder.io/cronjob-tutorial/controller-implementation.html,https://github.com/frncscsrcc/kubeOperatorTutorial,0,0,2,2019-12-02
application-component-operator,totr,The Kubernetes Operator for creating a new project/component configuration in CI / CD environment using Cadence orchestration engine.,https://github.com/totr/application-component-operator,0,1,2,2019-12-28
guestbook-redis-operator,hmanikkothu,,https://github.com/hmanikkothu/guestbook-redis-operator,0,0,2,2019-12-21
docker-snapshot-operator,secret104278,,https://github.com/secret104278/docker-snapshot-operator,0,1,1,2019-12-25
tunnel-client-operator,stobias123,Simple operator to create http tunnels for webhooks.,https://github.com/stobias123/tunnel-client-operator,0,0,1,2019-12-20
hazelcast-go-operator,hasancelik,,https://github.com/hasancelik/hazelcast-go-operator,0,0,2,2019-12-29
selinux-policy-installer-operator,JAORMX,selinux-policy-installer-operator will install your selinux policies in your k8s cluster,https://github.com/JAORMX/selinux-policy-installer-operator,0,1,2,2019-12-14
sample-fargate-operator,khiraiwa,,https://github.com/khiraiwa/sample-fargate-operator,0,0,1,2019-12-31
astarte-operator-go,drf,,https://github.com/drf/astarte-operator-go,0,0,2,2019-12-26
