22:50:25 Pod redis-operator-54fb85ff56-vsvh5 824:	Successfully assigned redis-operator/redis-operator-54fb85ff56-vsvh5 to acto-cluster-5-worker
22:51:38 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1214:	waiting for first consumer to be created before binding
22:51:38 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1221:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:51:38 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1221:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-2"
22:51:42 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1221:	Successfully provisioned volume pvc-b0a8b982-9c4f-4772-904d-ffe236234bb6
22:50:28 StatefulSet test-cluster-leader 846:	create Claim test-cluster-leader-test-cluster-leader-0 Pod test-cluster-leader-0 in StatefulSet test-cluster-leader success
22:50:28 StatefulSet test-cluster-leader 846:	create Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
22:51:03 StatefulSet test-cluster-leader 853:	create Claim test-cluster-leader-test-cluster-leader-1 Pod test-cluster-leader-1 in StatefulSet test-cluster-leader success
22:51:03 StatefulSet test-cluster-leader 853:	create Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
22:51:38 StatefulSet test-cluster-leader 1047:	create Claim test-cluster-leader-test-cluster-leader-2 Pod test-cluster-leader-2 in StatefulSet test-cluster-leader success
22:51:38 StatefulSet test-cluster-leader 1047:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
22:52:50 StatefulSet test-cluster-leader 1489:	delete Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
22:53:52 StatefulSet test-cluster-leader 1597:	delete Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
22:54:53 StatefulSet test-cluster-leader 1828:	delete Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
